"launch_date","recalls_number","manufacturer_ref","defect","make","model","build_start","build_end"
"17.01.2020",NULL,"19S47","Eine nicht nach Spezifikation gefertigte Lenksäule kann zu der Entwicklung von Lenkgeräuschen sowie dem folgenden Ausfall der Lenkkraftunterstützung führen. ","FORD","FIESTA","2019","2019"
"13.02.2020",NULL,"0032260200","Fehler im Gasgenerator des Fahrerairbags führt bei Airbagauslösung zu unkontrollierter Entfaltung. ","BMW","3, 5, X5","2002","2006"
"19.12.2019",NULL,"0063660100","Aufgrund fehlerhafter elektronischer Bauteile kann es zum Ausfall der Frontscheinwerfer kommen. ","BMW","Z4","2019","2019"
"20.12.2019",NULL,"C1HANABE","Fehlerhafte Verschraubung im Bereich der Hinterachse kann zu einem Radverlust und in der Folge einem Kontrollverlust über das Fahrzeug führen. ","MERCEDES-BENZ","CITAN","2019","2019"
"29.01.2020",NULL,"5499636","Unzulässige Abschalteinrichtung bzw. unzulässige Reduzierung der Wirksamkeit des Emissionskontrollsystems. ","MERCEDES-BENZ","GLC","2015","2016"
"16.01.2020",NULL,"0032960200, 0032970200, 0032980200","Unzureichende Abdichtung des Gasgenerators kann zum Zersetzen des Treibmittels und in der Folge zu einem Überdruck während der Airbagauslösung führen. Teile der Gasgeneratorhülle können sich lösen und die Insassen verletzen. ","BMW","E46","1997","2000"
"21.02.2020",NULL,"20S05","Aufgrund des Ausfalls des Bremskraftverstärkers kann es zu einem verlängerten Bremsweg und in der Folge erhöhter Verletzungsgefahr kommen. ","FORD","ECOSPORT, FOCUS, TRANSIT","2020","2020"
"07.02.2020",NULL,"5496143","Unzulässige Abschalteinrichtung bzw. unzulässige Reduzierung der Wirksamkeit des Emissionskontrollsystems. ","MERCEDES-BENZ","GLK","2012","2015"
"19.03.2020",NULL,"0051860400","Aufgrund einer fehlerhaften Verklebung des Heckspoilers kann sich dieser bei höheren Geschwindigkeiten lösen und in den Verkehrsraum gelangen. ","BMW","X6","2019","2020"
"07.01.2020",NULL,"5496121","Entfernung unzulässiger Abschalteinrichtungen bzw. der unzulässigen Reduzierung der Wirksamkeit des Emissionskontrollsystems","MERCEDES-BENZ","CLS-KLASSE, E-KLASSE","2015","2018"
"07.01.2020",NULL,"5496121","Entfernung unzulässiger Abschalteinrichtungen bzw. der unzulässigen Reduzierung der Wirksamkeit des Emissionskontrollsystems","MERCEDES-BENZ","M-KLASSE","2012","2016"
"07.01.2020",NULL,"5496121","Entfernung unzulässiger Abschalteinrichtungen bzw. der unzulässigen Reduzierung der Wirksamkeit des Emissionskontrollsystems","MERCEDES-BENZ","S-KLASSE","2013","2016"
"07.01.2020",NULL,"5496121","Entfernung unzulässiger Abschalteinrichtungen bzw. der unzulässigen Reduzierung der Wirksamkeit des Emissionskontrollsystems","MERCEDES-BENZ","S-KLASSE","2013","2015"
"07.01.2020",NULL,"5496121","Entfernung unzulässiger Abschalteinrichtungen bzw. der unzulässigen Reduzierung der Wirksamkeit des Emissionskontrollsystems","MERCEDES-BENZ","E-KLASSE","2012","2014"
"07.01.2020",NULL,"5496121","Entfernung unzulässiger Abschalteinrichtungen bzw. der unzulässigen Reduzierung der Wirksamkeit des Emissionskontrollsystems","MERCEDES-BENZ","CLS-KLASSE, E-KLASSE","2014","2016"
